iter	Passed	Remaining
700	1216	518
701	1217	517
702	1219	515
703	1221	513
704	1223	511
705	1225	510
706	1227	508
707	1229	507
708	1231	505
709	1232	503
710	1234	501
711	1236	500
712	1237	498
713	1239	496
714	1241	494
715	1243	493
716	1244	491
717	1246	489
718	1248	487
719	1250	486
720	1251	484
721	1253	482
722	1255	480
723	1256	479
724	1258	477
725	1260	475
726	1262	473
727	1264	472
728	1265	470
729	1267	468
730	1269	467
731	1270	465
732	1272	463
733	1274	461
734	1276	460
735	1278	458
736	1279	456
737	1281	454
738	1283	453
739	1284	451
740	1286	449
741	1288	447
742	1289	446
743	1291	444
744	1294	442
745	1295	441
746	1297	439
747	1299	437
748	1300	435
749	1302	434
750	1304	432
751	1305	430
752	1307	428
753	1309	427
754	1311	425
755	1313	423
756	1314	422
757	1316	420
758	1318	418
759	1319	416
760	1321	415
761	1323	413
762	1325	411
763	1327	410
764	1329	408
765	1330	406
766	1332	404
767	1334	403
768	1335	401
769	1337	399
770	1339	397
771	1341	396
772	1342	394
773	1344	392
774	1346	390
775	1348	389
776	1349	387
777	1351	385
778	1353	383
779	1355	382
780	1357	380
781	1359	379
782	1361	377
783	1362	375
784	1364	373
785	1366	371
786	1367	370
787	1369	368
788	1371	366
789	1373	365
790	1375	363
791	1376	361
792	1378	359
793	1380	358
794	1381	356
795	1383	354
796	1385	352
797	1386	351
798	1388	349
799	1390	347
800	1392	345
801	1393	344
802	1395	342
803	1397	340
804	1398	338
805	1400	337
806	1402	335
807	1404	333
808	1405	331
809	1407	330
810	1409	328
811	1411	326
812	1412	324
813	1414	323
814	1416	321
815	1417	319
816	1419	317
817	1421	316
818	1423	314
819	1425	312
820	1426	311
821	1428	309
822	1430	307
823	1432	305
824	1434	304
825	1436	302
826	1438	300
827	1439	299
828	1441	297
829	1443	295
830	1444	293
831	1446	292
832	1448	290
833	1450	288
834	1452	286
835	1453	285
836	1455	283
837	1457	281
838	1459	279
839	1460	278
840	1462	276
841	1464	274
842	1466	273
843	1468	271
844	1469	269
845	1471	267
846	1473	266
847	1475	264
848	1476	262
849	1478	260
850	1480	259
851	1482	257
852	1483	255
853	1485	253
854	1487	252
855	1489	250
856	1491	248
857	1492	247
858	1494	245
859	1496	243
860	1498	241
861	1500	240
862	1502	238
863	1504	236
864	1506	235
865	1508	233
866	1509	231
867	1511	229
868	1513	228
869	1515	226
870	1517	224
871	1519	223
872	1521	221
873	1523	219
874	1524	217
875	1526	216
876	1527	214
877	1529	212
878	1531	210
879	1533	209
880	1535	207
881	1537	205
882	1538	203
883	1540	202
884	1542	200
885	1543	198
886	1545	196
887	1547	195
888	1549	193
889	1551	191
890	1553	189
891	1554	188
892	1556	186
893	1558	184
894	1559	182
895	1561	181
896	1563	179
897	1565	177
898	1567	176
899	1569	174
900	1571	172
901	1572	170
902	1574	169
903	1576	167
904	1578	165
905	1580	163
906	1582	162
907	1584	160
908	1585	158
909	1587	156
910	1589	155
911	1590	153
912	1593	151
913	1595	150
914	1596	148
915	1598	146
916	1600	144
917	1602	143
918	1603	141
919	1605	139
920	1607	137
921	1609	136
922	1611	134
923	1613	132
924	1615	130
925	1616	129
926	1618	127
927	1619	125
928	1621	123
929	1623	122
930	1625	120
931	1627	118
932	1629	116
933	1631	115
934	1632	113
935	1634	111
936	1636	110
937	1637	108
938	1639	106
939	1641	104
940	1643	103
941	1644	101
942	1646	99
943	1647	97
944	1649	96
945	1651	94
946	1652	92
947	1654	90
948	1656	89
949	1658	87
950	1660	85
951	1661	83
952	1663	82
953	1665	80
954	1666	78
955	1668	76
956	1670	75
957	1671	73
958	1673	71
959	1675	69
960	1677	68
961	1679	66
962	1680	64
963	1682	62
964	1684	61
965	1685	59
966	1687	57
967	1689	55
968	1691	54
969	1693	52
970	1695	50
971	1696	48
972	1698	47
973	1700	45
974	1701	43
975	1703	41
976	1705	40
977	1706	38
978	1708	36
979	1710	34
980	1712	33
981	1713	31
982	1715	29
983	1717	27
984	1718	26
985	1720	24
986	1722	22
987	1724	20
988	1725	19
989	1727	17
990	1729	15
991	1730	13
992	1732	12
993	1734	10
994	1736	8
995	1738	6
996	1740	5
997	1741	3
998	1743	1
999	1745	0
